org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/init.pp,0,0,0,1,4,10,7,0,0,0,45,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/storage.pp,0,0,0,1,1,8,6,0,0,0,29,7,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/uwsgi/manifests/params.pp,0,0,0,0,0,0,9,0,0,0,39,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/client.pp,0,0,0,1,1,2,1,0,0,0,8,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/server/jmxtrans.pp,1,0,0,0,0,21,181,0,0,0,463,25,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/perestroika/publisher.pp,0,0,2,2,4,12,4,0,0,0,65,14,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/horizon.pp,0,0,0,0,0,15,8,0,0,1,55,20,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/updates.pp,0,1,2,2,4,31,25,0,0,0,74,15,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave.pp,2,16,35,35,70,249,203,1,15,15,1287,81,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/volumes_ephemeral.pp,0,0,1,2,4,10,5,0,0,0,46,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/lodgeit.pp,1,3,2,7,9,53,39,0,2,2,118,15,0
